GivenName,sn,department,l,st,ObjectClass,UserAccountControl,DN,sAMAccountName,displayname,cn,mail,userprincipalname
Dean,Adams,Projects,Greenville,SC,user,512,"CN=Dean Adams,CN=Users,DC=ABSCorp,DC=com",DAdams,Dean Adams,Dean Adams,DAdams@abscorp.com,DAdams@abscorp.com
Irene,Adams,Projects,Greenville,SC,user,512,"CN=Irene Adams,CN=Users,DC=ABSCorp,DC=com",IAdams,Irene Adams,Irene Adams,IAdams@abscorp.com,IAdams@abscorp.com
Ramon,Allen,IT,Greenville,SC,user,512,"CN=Ramon Allen,CN=Users,DC=ABSCorp,DC=com",RAllen,Ramon Allen,Ramon Allen,RAllen@abscorp.com,RAllen@abscorp.com
Andrea,Anderson,Sales,Greenville,SC,user,512,"CN=Andrea Anderson,CN=Users,DC=ABSCorp,DC=com",AAnderson,Andrea Anderson,Andrea Anderson,AAnderson@abscorp.com,AAnderson@abscorp.com
Martha,Anthony,Management,Greenville,SC,user,512,"CN=Martha Anthony,CN=Users,DC=ABSCorp,DC=com",MAnthony,Martha Anthony,Martha Anthony,MAnthony@abscorp.com,MAnthony@abscorp.com
Maria,Armstrong,Sales,Greenville,SC,user,512,"CN=Maria Armstrong,CN=Users,DC=ABSCorp,DC=com",MArmstrong,Maria Armstrong,Maria Armstrong,MArmstrong@abscorp.com,MArmstrong@abscorp.com
Maria,Arnold,Projects,Greenville,SC,user,512,"CN=Maria Arnold,CN=Users,DC=ABSCorp,DC=com",MArnold,Maria Arnold,Maria Arnold,MArnold@abscorp.com,MArnold@abscorp.com
Dorothy,Baker,Projects,Greenville,SC,user,512,"CN=Dorothy Baker,CN=Users,DC=ABSCorp,DC=com",DBaker,Dorothy Baker,Dorothy Baker,DBaker@abscorp.com,DBaker@abscorp.com
Kim,Baker,Projects,Greenville,SC,user,512,"CN=Kim Baker,CN=Users,DC=ABSCorp,DC=com",KBaker,Kim Baker,Kim Baker,KBaker@abscorp.com,KBaker@abscorp.com
Mary,Ball,Projects,Greenville,SC,user,512,"CN=Mary Ball,CN=Users,DC=ABSCorp,DC=com",MBall,Mary Ball,Mary Ball,MBall@abscorp.com,MBall@abscorp.com
Joshua,Bates,Projects,Greenville,SC,user,512,"CN=Joshua Bates,CN=Users,DC=ABSCorp,DC=com",JBates,Joshua Bates,Joshua Bates,JBates@abscorp.com,JBates@abscorp.com
Timothy,Best,Projects,Greenville,SC,user,512,"CN=Timothy Best,CN=Users,DC=ABSCorp,DC=com",TBest,Timothy Best,Timothy Best,TBest@abscorp.com,TBest@abscorp.com
